,start_station_name,end_station_name,trips,start_lat,start_lng,end_lat,end_lng,merge_flag
3657,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Ave at Monmouth St,5565,40.73593758446329,-74.03030455112457,40.73520838045357,-74.04696375131607,both
6290,South Waterfront Walkway - Sinatra Dr & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,5439,40.73698221818716,-74.02778059244156,40.73698221818716,-74.02778059244156,both
4976,Marin Light Rail,Grove St PATH,4113,40.71458403535893,-74.04281705617905,40.71958611647166,-74.04311746358871,both
3574,Hoboken Ave at Monmouth St,Hoboken Terminal - Hudson St & Hudson Pl,4083,40.73520838045357,-74.04696375131607,40.73593758446329,-74.03030455112457,both
3135,Grove St PATH,Marin Light Rail,3973,40.71958611647166,-74.04311746358871,40.71458403535893,-74.04281705617905,both
181,12 St & Sinatra Dr N,South Waterfront Walkway - Sinatra Dr & 1 St,3964,40.75060414236896,-74.02402013540268,40.73698221818716,-74.02778059244156,both
4503,Liberty Light Rail,Liberty Light Rail,3696,40.7112423,-74.0557013,40.7112423,-74.0557013,both
6211,South Waterfront Walkway - Sinatra Dr & 1 St,12 St & Sinatra Dr N,3495,40.73698221818716,-74.02778059244156,40.75060414236896,-74.02402013540268,both
3201,Hamilton Park,Grove St PATH,3203,40.727595966,-74.044247311,40.71958611647166,-74.04311746358871,both
5722,Newport Pkwy,Newport Pkwy,3131,40.7287448,-74.0321082,40.7287448,-74.0321082,both
6212,South Waterfront Walkway - Sinatra Dr & 1 St,14 St Ferry - 14 St & Shipyard Ln,3027,40.73698221818716,-74.02778059244156,40.75296063046496,-74.02435272932053,both
285,14 St Ferry - 14 St & Shipyard Ln,South Waterfront Walkway - Sinatra Dr & 1 St,3026,40.75296063046496,-74.02435272932053,40.73698221818716,-74.02778059244156,both
3112,Grove St PATH,Hamilton Park,2956,40.71958611647166,-74.04311746358871,40.727595966,-74.044247311,both
97,12 St & Sinatra Dr N,12 St & Sinatra Dr N,2952,40.75060414236896,-74.02402013540268,40.75060414236896,-74.02402013540268,both
3128,Grove St PATH,Liberty Light Rail,2847,40.71958611647166,-74.04311746358871,40.7112423,-74.0557013,both
3670,Hoboken Terminal - Hudson St & Hudson Pl,Madison St & 1 St,2840,40.73593758446329,-74.03030455112457,40.73879,-74.0393,both
3284,Harborside,Columbus Dr at Exchange Pl,2735,40.7192517,-74.034234,40.71687,-74.03281,both
4487,Liberty Light Rail,Grove St PATH,2692,40.7112423,-74.0557013,40.71958611647166,-74.04311746358871,both
2561,Dixon Mills,Grove St PATH,2556,40.721630142638354,-74.04996782541275,40.71958611647166,-74.04311746358871,both
3126,Grove St PATH,Lafayette Park,2530,40.71958611647166,-74.04311746358871,40.71346382669195,-74.06285852193832,both
2151,Columbus Dr at Exchange Pl,Harborside,2422,40.71687,-74.03281,40.7192517,-74.034234,both
4322,Lafayette Park,Grove St PATH,2422,40.71346382669195,-74.06285852193832,40.71958611647166,-74.04311746358871,both
1557,Brunswick St,Grove St PATH,2410,40.7241765,-74.0506564,40.71958611647166,-74.04311746358871,both
5000,Marin Light Rail,Marin Light Rail,2399,40.71458403535893,-74.04281705617905,40.71458403535893,-74.04281705617905,both
4655,Madison St & 1 St,Hoboken Terminal - Hudson St & Hudson Pl,2359,40.73879,-74.0393,40.73593758446329,-74.03030455112457,both
201,14 St Ferry - 14 St & Shipyard Ln,14 St Ferry - 14 St & Shipyard Ln,2345,40.75296063046496,-74.02435272932053,40.75296063046496,-74.02435272932053,both
3102,Grove St PATH,Dixon Mills,2339,40.71958611647166,-74.04311746358871,40.721630142638354,-74.04996782541275,both
3705,Hoboken Terminal - River St & Hudson Pl,12 St & Sinatra Dr N,2103,40.7360676564825,-74.02912706136703,40.75060414236896,-74.02402013540268,both
5133,McGinley Square,Bergen Ave & Sip Ave,2085,40.7253399253558,-74.06762212514877,40.73100888698729,-74.06443700194359,both
1473,Brunswick & 6th,Grove St PATH,2082,40.72601172964625,-74.05038893222809,40.71958611647166,-74.04311746358871,both
3120,Grove St PATH,JC Medical Center,2073,40.71958611647166,-74.04311746358871,40.71653978099194,-74.0496379137039,both
3111,Grove St PATH,Grove St PATH,2071,40.71958611647166,-74.04311746358871,40.71958611647166,-74.04311746358871,both
3089,Grove St PATH,Brunswick St,2032,40.71958611647166,-74.04311746358871,40.7241765,-74.0506564,both
3691,Hoboken Terminal - Hudson St & Hudson Pl,Southwest Park - Jackson St & Observer Hwy,2014,40.73593758446329,-74.03030455112457,40.73755127245804,-74.04166370630264,both
3704,Hoboken Terminal - River St & Hudson Pl,11 St & Washington St,1964,40.7360676564825,-74.02912706136703,40.74998490907138,-74.02715027332306,both
3088,Grove St PATH,Brunswick & 6th,1925,40.71958611647166,-74.04311746358871,40.72601172964625,-74.05038893222809,both
5191,McGinley Square,Sip Ave,1906,40.7253399253558,-74.06762212514877,40.73089709786179,-74.06391263008118,both
3912,JC Medical Center,Grove St PATH,1868,40.71653978099194,-74.0496379137039,40.71958611647166,-74.04311746358871,both
3222,Hamilton Park,Manila & 1st,1852,40.727595966,-74.044247311,40.72165072487999,-74.04288411140442,both
3706,Hoboken Terminal - River St & Hudson Pl,14 St Ferry - 14 St & Shipyard Ln,1826,40.7360676564825,-74.02912706136703,40.75296063046496,-74.02435272932053,both
5399,Morris Canal,Columbus Dr at Exchange Pl,1810,40.7124188237569,-74.03852552175522,40.71687,-74.03281,both
3711,Hoboken Terminal - River St & Hudson Pl,8 St & Washington St,1807,40.7360676564825,-74.02912706136703,40.74598388291562,-74.02819901704788,both
6186,Sip Ave,McGinley Square,1792,40.73089709786179,-74.06391263008118,40.7253399253558,-74.06762212514877,both
3573,Hoboken Ave at Monmouth St,Hoboken Ave at Monmouth St,1760,40.73520838045357,-74.04696375131607,40.73520838045357,-74.04696375131607,both
5601,Newport PATH,Harborside,1758,40.7272235,-74.0337589,40.7192517,-74.034234,both
6209,South Waterfront Walkway - Sinatra Dr & 1 St,11 St & Washington St,1755,40.73698221818716,-74.02778059244156,40.74998490907138,-74.02715027332306,both
1258,Bergen Ave & Sip Ave,McGinley Square,1730,40.73100888698729,-74.06443700194359,40.7253399253558,-74.06762212514877,both
6348,Southwest Park - Jackson St & Observer Hwy,Hoboken Terminal - Hudson St & Hudson Pl,1716,40.73755127245804,-74.04166370630264,40.73593758446329,-74.03030455112457,both
1055,Baldwin at Montgomery,Grove St PATH,1708,40.7236589,-74.0641943,40.71958611647166,-74.04311746358871,both
4469,Liberty Light Rail,City Hall,1696,40.7112423,-74.0557013,40.7177325,-74.043845,both
5600,Newport PATH,Hamilton Park,1694,40.727224,-74.033759,40.727596,-74.044247,both
3921,JC Medical Center,JC Medical Center,1664,40.71654,-74.049638,40.71654,-74.049638,both
5239,Monmouth and 6th,Grove St PATH,1661,40.72568548362901,-74.04879033565521,40.71958611647166,-74.04311746358871,both
3575,Hoboken Ave at Monmouth St,Hoboken Terminal - River St & Hudson Pl,1660,40.73520838045357,-74.04696375131607,40.7360676564825,-74.02912706136703,both
4151,Jersey & 6th St,Grove St PATH,1646,40.72528910781132,-74.04557168483734,40.71958611647166,-74.04311746358871,both
1918,City Hall - Washington St & 1 St,Madison St & 1 St,1614,40.73736,-74.03097,40.73879,-74.0393,both
657,8 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1595,40.74598388291562,-74.02819901704788,40.7360676564825,-74.02912706136703,both
4656,Madison St & 1 St,Hoboken Terminal - River St & Hudson Pl,1563,40.73879,-74.0393,40.7360676564825,-74.02912706136703,both
3333,Harborside,Newport PATH,1557,40.7192517,-74.034234,40.7272235,-74.0337589,both
4886,Manila & 1st,Hamilton Park,1554,40.72165072487999,-74.04288411140442,40.727595966,-74.044247311,both
1181,Bergen Ave,Sip Ave,1527,40.722103786686034,-74.07145500183105,40.73089709786179,-74.06391263008118,both
6579,Van Vorst Park,Grove St PATH,1523,40.71848892,-74.047726625,40.71958611647166,-74.04311746358871,both
3154,Grove St PATH,Van Vorst Park,1506,40.71958611647166,-74.04311746358871,40.71848892,-74.047726625,both
2178,Columbus Dr at Exchange Pl,Morris Canal,1495,40.71687,-74.03281,40.7124188237569,-74.03852552175522,both
349,4 St & Grand St,Hoboken Terminal - River St & Hudson Pl,1488,40.7422579775645,-74.03511106967926,40.7360676564825,-74.02912706136703,both
3138,Grove St PATH,Monmouth and 6th,1480,40.71958611647166,-74.04311746358871,40.72568548362901,-74.04879033565521,both
3124,Grove St PATH,Jersey & 6th St,1474,40.71958611647166,-74.04311746358871,40.72528910781132,-74.04557168483734,both
3303,Harborside,Harborside,1466,40.7192517,-74.034234,40.7192517,-74.034234,both
3083,Grove St PATH,Baldwin at Montgomery,1465,40.71958611647166,-74.04311746358871,40.7236589,-74.0641943,both
6137,Sip Ave,Bergen Ave,1447,40.73089709786179,-74.06391263008118,40.722103786686034,-74.07145500183105,both
4635,Madison St & 1 St,City Hall - Washington St & 1 St,1436,40.73879,-74.0393,40.73736,-74.03097,both
5721,Newport Pkwy,Newport PATH,1433,40.7287448,-74.0321082,40.7272235,-74.0337589,both
23,11 St & Washington St,City Hall - Washington St & 1 St,1399,40.74998490907138,-74.02715027332306,40.73736,-74.03097,both
82,11 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1391,40.74998490907138,-74.02715027332306,40.73698221818716,-74.02778059244156,both
3834,Hudson St & 4 St,Hoboken Terminal - River St & Hudson Pl,1381,40.74097260864355,-74.02860336005688,40.7360676564825,-74.02912706136703,both
3202,Hamilton Park,Hamilton Park,1380,40.727595966,-74.044247311,40.727595966,-74.044247311,both
3707,Hoboken Terminal - River St & Hudson Pl,4 St & Grand St,1362,40.7360676564825,-74.02912706136703,40.7422579775645,-74.03511106967926,both
6807,Washington St,Washington St,1351,40.7242941,-74.0354826,40.7242941,-74.0354826,both
3729,Hoboken Terminal - River St & Hudson Pl,Columbus Park - Clinton St & 9 St,1329,40.7360676564825,-74.02912706136703,40.74816121065146,-74.0324530005455,both
3746,Hoboken Terminal - River St & Hudson Pl,Hoboken Terminal - River St & Hudson Pl,1305,40.7360676564825,-74.02912706136703,40.7360676564825,-74.02912706136703,both
2224,Columbus Drive,Columbus Drive,1302,40.71835519823214,-74.03891444206238,40.71835519823214,-74.03891444206238,both
149,12 St & Sinatra Dr N,Hoboken Terminal - River St & Hudson Pl,1298,40.75060414236896,-74.02402013540268,40.7360676564825,-74.02912706136703,both
4687,Madison St & 1 St,South Waterfront Walkway - Sinatra Dr & 1 St,1293,40.73879,-74.0393,40.73698221818716,-74.02778059244156,both
5631,Newport PATH,Newport Pkwy,1281,40.7272235,-74.0337589,40.7287448,-74.0321082,both
2710,Fairmount Ave,Bergen Ave & Sip Ave,1278,40.72572613742557,-74.07195925712585,40.73100888698729,-74.06443700194359,both
1114,Bergen Ave,Bergen Ave & Sip Ave,1275,40.722103786686034,-74.07145500183105,40.73100888698729,-74.06443700194359,both
6710,Warren St,Warren St,1274,40.7211236,-74.03805095,40.7211236,-74.03805095,both
3725,Hoboken Terminal - River St & Hudson Pl,Clinton St & 7 St,1272,40.7360676564825,-74.02912706136703,40.74542,-74.03332,both
3747,Hoboken Terminal - River St & Hudson Pl,Hudson St & 4 St,1260,40.7360676564825,-74.02912706136703,40.74097260864355,-74.02860336005688,both
656,8 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1258,40.74598388291562,-74.02819901704788,40.73593758446329,-74.03030455112457,both
1905,City Hall - Washington St & 1 St,Hoboken Ave at Monmouth St,1258,40.73736,-74.03097,40.73520838045357,-74.04696375131607,both
49,11 St & Washington St,Hoboken Terminal - River St & Hudson Pl,1247,40.74998490907138,-74.02715027332306,40.7360676564825,-74.02912706136703,both
1793,City Hall,City Hall,1246,40.7177325,-74.043845,40.7177325,-74.043845,both
3230,Hamilton Park,Newport PATH,1242,40.727595966,-74.044247311,40.7272235,-74.0337589,both
1826,City Hall,Liberty Light Rail,1234,40.7177325,-74.043845,40.7112423,-74.0557013,both
5729,Newport Pkwy,South Waterfront Walkway - Sinatra Dr & 1 St,1233,40.7287448,-74.0321082,40.73698221818716,-74.02778059244156,both
3835,Hudson St & 4 St,Hudson St & 4 St,1232,40.740973,-74.028603,40.740973,-74.028603,both
5630,Newport PATH,Newport PATH,1231,40.7272235,-74.0337589,40.7272235,-74.0337589,both
2308,Columbus Park - Clinton St & 9 St,City Hall - Washington St & 1 St,1229,40.74816121065146,-74.0324530005455,40.73736,-74.03097,both
3659,Hoboken Terminal - Hudson St & Hudson Pl,Hoboken Terminal - River St & Hudson Pl,1224,40.73593758446329,-74.03030455112457,40.7360676564825,-74.02912706136703,both
48,11 St & Washington St,Hoboken Terminal - Hudson St & Hudson Pl,1213,40.74998490907138,-74.02715027332306,40.73593758446329,-74.03030455112457,both
3757,Hoboken Terminal - River St & Hudson Pl,Madison St & 1 St,1203,40.7360676564825,-74.02912706136703,40.73879,-74.0393,both
6789,Washington St,Newport PATH,1197,40.7242941,-74.0354826,40.7272235,-74.0337589,both
1987,Clinton St & 7 St,Hoboken Terminal - River St & Hudson Pl,1191,40.74542,-74.03332,40.7360676564825,-74.02912706136703,both
1210,Bergen Ave & Sip Ave,Bergen Ave,1185,40.73100888698729,-74.06443700194359,40.722103786686034,-74.07145500183105,both
4306,Lafayette Park,City Hall,1184,40.71346382669195,-74.06285852193832,40.7177325,-74.043845,both
638,8 St & Washington St,City Hall - Washington St & 1 St,1183,40.74598388291562,-74.02819901704788,40.73736,-74.03097,both
3710,Hoboken Terminal - River St & Hudson Pl,7 St & Monroe St,1168,40.7360676564825,-74.02912706136703,40.74641264837719,-74.03797701001167,both
1365,Bloomfield St & 15 St,Bloomfield St & 15 St,1160,40.75453,-74.02658,40.75453,-74.02658,both
6619,Van Vorst Park,Van Vorst Park,1154,40.71848892,-74.047726625,40.71848892,-74.047726625,both
254,14 St Ferry - 14 St & Shipyard Ln,Hoboken Terminal - River St & Hudson Pl,1153,40.75296063046496,-74.02435272932053,40.7360676564825,-74.02912706136703,both
4962,Marin Light Rail,Columbus Dr at Exchange Pl,1140,40.71458403535893,-74.04281705617905,40.71687,-74.03281,both
3640,Hoboken Terminal - Hudson St & Hudson Pl,Clinton St & Newark St,1138,40.73593758446329,-74.03030455112457,40.73743,-74.03571,both
0,11 St & Washington St,11 St & Washington St,1132,40.74998490907138,-74.02715027332306,40.74998490907138,-74.02715027332306,both
1229,Bergen Ave & Sip Ave,Fairmount Ave,1116,40.73100888698729,-74.06443700194359,40.72572613742557,-74.07195925712585,both
688,8 St & Washington St,South Waterfront Walkway - Sinatra Dr & 1 St,1111,40.74598388291562,-74.02819901704788,40.73698221818716,-74.02778059244156,both
348,4 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,1101,40.7422579775645,-74.03511106967926,40.73593758446329,-74.03030455112457,both
1884,City Hall - Washington St & 1 St,City Hall - Washington St & 1 St,1101,40.73736,-74.03097,40.73736,-74.03097,both
1423,Bloomfield St & 15 St,South Waterfront Walkway - Sinatra Dr & 1 St,1088,40.75453,-74.02658,40.73698221818716,-74.02778059244156,both
6432,Stevens - River Ter & 6 St,Hoboken Terminal - River St & Hudson Pl,1079,40.74313282710551,-74.02698867022991,40.7360676564825,-74.02912706136703,both
578,7 St & Monroe St,Hoboken Terminal - Hudson St & Hudson Pl,1077,40.74641264837719,-74.03797701001167,40.73593758446329,-74.03030455112457,both
255,14 St Ferry - 14 St & Shipyard Ln,Hudson St & 4 St,1075,40.75296063046496,-74.02435272932053,40.74097260864355,-74.02860336005688,both
4586,Lincoln Park,Lincoln Park,1073,40.7246050998869,-74.07840594649315,40.7246050998869,-74.07840594649315,both
6217,South Waterfront Walkway - Sinatra Dr & 1 St,8 St & Washington St,1073,40.73698221818716,-74.02778059244156,40.74598388291562,-74.02819901704788,both
4069,Jersey & 3rd,Hamilton Park,1063,40.72333158646436,-74.04595255851744,40.727595966,-74.044247311,both
3791,Hudson St & 4 St,14 St Ferry - 14 St & Shipyard Ln,1062,40.74097260864355,-74.02860336005688,40.75296063046496,-74.02435272932053,both
4228,Journal Square,Dey St,1053,40.73367,-74.0625,40.737711,-74.066921,both
2766,Fairmount Ave,Sip Ave,1050,40.72572613742557,-74.07195925712585,40.73089709786179,-74.06391263008118,both
1937,City Hall - Washington St & 1 St,Southwest Park - Jackson St & Observer Hwy,1042,40.73736,-74.03097,40.73755127245804,-74.04166370630264,both
2173,Columbus Dr at Exchange Pl,Marin Light Rail,1038,40.71687,-74.03281,40.71458403535893,-74.04281705617905,both
3790,Hudson St & 4 St,12 St & Sinatra Dr N,1037,40.74097260864355,-74.02860336005688,40.75060414236896,-74.02402013540268,both
6283,South Waterfront Walkway - Sinatra Dr & 1 St,Newport Pkwy,1031,40.73698221818716,-74.02778059244156,40.7287448,-74.0321082,both
3123,Grove St PATH,Jersey & 3rd,1030,40.71958611647166,-74.04311746358871,40.72333158646436,-74.04595255851744,both
3229,Hamilton Park,Newark Ave,1030,40.727595966,-74.044247311,40.72152515,-74.046304543,both
3712,Hoboken Terminal - River St & Hudson Pl,9 St HBLR - Jackson St & 8 St,1025,40.7360676564825,-74.02912706136703,40.74790720968899,-74.03841152787209,both
5012,Marin Light Rail,Paulus Hook,1025,40.71458403535893,-74.04281705617905,40.7141454,-74.0335519,both
3676,Hoboken Terminal - Hudson St & Hudson Pl,Marshall St & 2 St,1024,40.73593758446329,-74.03030455112457,40.740802,-74.042521,both
2132,Columbus Dr at Exchange Pl,Columbus Dr at Exchange Pl,1023,40.71687,-74.03281,40.71687,-74.03281,both
3334,Harborside,Newport Pkwy,1023,40.7192517,-74.034234,40.7287448,-74.0321082,both
2327,Columbus Park - Clinton St & 9 St,Hoboken Terminal - River St & Hudson Pl,1021,40.74816121065146,-74.0324530005455,40.7360676564825,-74.02912706136703,both
1923,City Hall - Washington St & 1 St,Marshall St & 2 St,1019,40.73736,-74.03097,40.740802,-74.042521,both
5694,Newport Pkwy,Harborside,1013,40.7287448,-74.0321082,40.7192517,-74.034234,both
3709,Hoboken Terminal - River St & Hudson Pl,6 St & Grand St,1004,40.7360676564825,-74.02912706136703,40.7443978330956,-74.03450086712837,both
1860,City Hall - Washington St & 1 St,11 St & Washington St,1003,40.73736,-74.03097,40.74998490907138,-74.02715027332306,both
1730,Church Sq Park - 5 St & Park Ave,Hoboken Terminal - River St & Hudson Pl,1001,40.74265933273143,-74.03223305940628,40.7360676564825,-74.02912706136703,both
6790,Washington St,Newport Pkwy,1001,40.7242941,-74.0354826,40.7287448,-74.0321082,both
5062,Marshall St & 2 St,City Hall - Washington St & 1 St,999,40.740802,-74.042521,40.73736,-74.03097,both
5645,Newport PATH,Warren St,998,40.7272235,-74.0337589,40.7211236,-74.03805095,both
5736,Newport Pkwy,Washington St,998,40.7287448,-74.0321082,40.7242941,-74.0354826,both
150,12 St & Sinatra Dr N,Hudson St & 4 St,980,40.75060414236896,-74.02402013540268,40.74097260864355,-74.02860336005688,both
2326,Columbus Park - Clinton St & 9 St,Hoboken Terminal - Hudson St & Hudson Pl,977,40.74816121065146,-74.0324530005455,40.73593758446329,-74.03030455112457,both
6226,South Waterfront Walkway - Sinatra Dr & 1 St,Bloomfield St & 15 St,977,40.73698221818716,-74.02778059244156,40.75453,-74.02658,both
5735,Newport Pkwy,Warren St,971,40.7287448,-74.0321082,40.7211236,-74.03805095,both
3722,Hoboken Terminal - River St & Hudson Pl,Church Sq Park - 5 St & Park Ave,968,40.7360676564825,-74.02912706136703,40.74265933273143,-74.03223305940628,both
1091,Baldwin at Montgomery,Sip Ave,961,40.7236589,-74.0641943,40.73089709786179,-74.06391263008118,both
3778,Hoboken Terminal - River St & Hudson Pl,Stevens - River Ter & 6 St,960,40.7360676564825,-74.02912706136703,40.74313282710551,-74.02698867022991,both
5646,Newport PATH,Washington St,953,40.7272235,-74.0337589,40.7242941,-74.0354826,both
6694,Warren St,Newport PATH,951,40.7211236,-74.03805095,40.7272235,-74.0337589,both
1810,City Hall,Grove St PATH,940,40.7177325,-74.043845,40.71958611647166,-74.04311746358871,both
5443,Morris Canal,Morris Canal,936,40.7124188237569,-74.03852552175522,40.7124188237569,-74.03852552175522,both
3744,Hoboken Terminal - River St & Hudson Pl,Hoboken Ave at Monmouth St,931,40.7360676564825,-74.02912706136703,40.73520838045357,-74.04696375131607,both
504,6 St & Grand St,Hoboken Terminal - Hudson St & Hudson Pl,929,40.7443978330956,-74.03450086712837,40.73593758446329,-74.03030455112457,both
